contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100731721,11007317211600,1,  199.00,20130805,TUITION,0
1100731721,11007317211700,1,  199.00,20130905,TUITION,0
1100731721,11007317211800,1,  199.00,20131005,TUITION,0
1100731721,11007317211900,1,  199.00,20131105,TUITION,0
1100731721,11007317212000,1,  199.00,20131205,TUITION,0
1100731721,11007317212100,1,  199.00,20140105,TUITION,0
1100732322,11007323221000,1,  239.00,20130420,TUITION,0
1100732322,11007323221100,1,  239.00,20130520,TUITION,0
1100732322,11007323221200,1,  239.00,20130620,TUITION,0
1100732322,11007323221300,1,  239.00,20130720,TUITION,0
1100732322,11007323221400,1,  239.00,20130820,TUITION,0
1100732322,11007323221500,1,  239.00,20130920,TUITION,0
1100732322,11007323221600,1,  239.00,20131020,TUITION,0
1100732322,11007323221700,1,  239.00,20131120,TUITION,0
1100732322,11007323221800,1,  239.00,20131220,TUITION,0
1100732322,11007323221900,1,  239.00,20140120,TUITION,0
1100732322,11007323222000,1,  239.00,20140220,TUITION,0
1100732322,11007323222100,1,  239.00,20140320,TUITION,0
1100732622,11007326221000,1, 1000.00,20131231,TUITION,0
1100732622,11007326221100,1,  355.00,20140205,TUITION,0
1100732622,11007326221200,1,  355.00,20140305,TUITION,0
1100732622,11007326221300,1,  355.00,20140405,TUITION,0
1100732622,11007326221400,1,  355.00,20140505,TUITION,0
1100732622,11007326221500,1,  355.00,20140605,TUITION,0
1100732622,11007326221600,1,  355.00,20140705,TUITION,0
1100732622,11007326221700,1,  355.00,20140805,TUITION,0
1100732622,11007326221800,1,  355.00,20140905,TUITION,0
1100732622,11007326221900,1,  355.00,20141005,TUITION,0
1100732622,11007326222000,1,  355.00,20141105,TUITION,0
1100732622,11007326222100,1,  354.00,20141205,TUITION,0
1100732722,11007327221000,1, 1685.00,20140127,TUITION,0
1100733022,11007330221000,1,  239.00,20140305,TUITION,0
1100733022,11007330221100,1,  239.00,20140405,TUITION,0
1100733022,11007330221200,1,  239.00,20140505,TUITION,0
1100733022,11007330221300,1,  239.00,20140605,TUITION,0
1100733022,11007330221400,1,  239.00,20140705,TUITION,0
1100733022,11007330221500,1,  239.00,20140805,TUITION,0
1100733022,11007330221600,1,  239.00,20140905,TUITION,0
